Country,Date,Price (EUR/MWhe)
Slovenia,2021-12-01,252.4
Spain,2021-12-01,238.97
Sweden,2021-12-01,156.77
Switzerland,2021-12-01,282.14
United Kingdom,2021-12-01,288.48
Austria,2022-01-01,190.88
Belgium,2022-01-01,191.56
Bulgaria,2022-01-01,186.56
Croatia,2022-01-01,206.9
Czechia,2022-01-01,179.72
Estonia,2022-01-01,141.86
France,2022-01-01,211.85
Germany,2022-01-01,167.81
Greece,2022-01-01,227.35
Hungary,2022-01-01,204.92
Ireland,2022-01-01,198.7
Italy,2022-01-01,224.49
Latvia,2022-01-01,143.96
Lithuania,2022-01-01,146.01
Luxembourg,2022-01-01,167.81
Netherlands,2022-01-01,189.24
Poland,2022-01-01,143.99
Portugal,2022-01-01,201.98
Romania,2022-01-01,192.15
Serbia,2022-01-01,209.57
Slovakia,2022-01-01,194.79
Slovenia,2022-01-01,206.9
Spain,2022-01-01,201.8
Switzerland,2022-01-01,219.48
United Kingdom,2022-01-01,219.28
Austria,2022-02-01,167.94
Belgium,2022-02-01,162.64
Bulgaria,2022-02-01,187.54
Croatia,2022-02-01,195.5
Czechia,2022-02-01,155.03
France,2022-02-01,185.65
Germany,2022-02-01,129.86
Greece,2022-02-01,211.73
Hungary,2022-02-01,194.29
Ireland,2022-02-01,172.98
Italy,2022-02-01,211.76
Luxembourg,2022-02-01,129.86
Netherlands,2022-02-01,168.29
Portugal,2022-02-01,200.81
Romania,2022-02-01,188.25
Serbia,2022-02-01,198.8
Slovakia,2022-02-01,171.37
Slovenia,2022-02-01,195.4
Spain,2022-02-01,200.31
Switzerland,2022-02-01,208.71
United Kingdom,2022-02-01,193.98
Austria,2022-03-01,286.6
Belgium,2022-03-01,265.51
Bulgaria,2022-03-01,248.95
Croatia,2022-03-01,293.44
Czechia,2022-03-01,259.82
Denmark,2022-03-01,232.73
Estonia,2022-03-01,151.16
France,2022-03-01,295.17
Germany,2022-03-01,252.07
Greece,2022-03-01,272.32
Hungary,2022-03-01,285.23
Ireland,2022-03-01,292.18
Italy,2022-03-01,307.97
Latvia,2022-03-01,167.14
Lithuania,2022-03-01,170.06
Luxembourg,2022-03-01,252.07
Netherlands,2022-03-01,261.03
Norway,2022-03-01,131.92
Poland,2022-03-01,141.33
Portugal,2022-03-01,283.09
Romania,2022-03-01,274.1
Serbia,2022-03-01,291.97
Slovakia,2022-03-01,279.1
Slovenia,2022-03-01,293.44
Spain,2022-03-01,283.19
Switzerland,2022-03-01,306.09
United Kingdom,2022-03-01,300.42
Austria,2022-04-01,190.67
Belgium,2022-04-01,186.72
Bulgaria,2022-04-01,174.52
Croatia,2022-04-01,192.69
Czechia,2022-04-01,174.35
Denmark,2022-04-01,159.66
France,2022-04-01,232.92
Germany,2022-04-01,168.78
Greece,2022-04-01,246.91
Hungary,2022-04-01,189.45
Ireland,2022-04-01,222.44
Italy,2022-04-01,245.79
Luxembourg,2022-04-01,168.78
Netherlands,2022-04-01,195.31
Norway,2022-04-01,127.8
Poland,2022-04-01,124.27
Portugal,2022-04-01,192.01
Romania,2022-04-01,174.8
Serbia,2022-04-01,191.74
Slovakia,2022-04-01,183.68
Slovenia,2022-04-01,192.69
Spain,2022-04-01,191.52
Switzerland,2022-04-01,227.2
United Kingdom,2022-04-01,211.27
Austria,2022-05-01,184.95
Belgium,2022-05-01,176.67
Bulgaria,2022-05-01,201.8
Croatia,2022-05-01,202.06
Czechia,2022-05-01,189.02
Denmark,2022-05-01,168.51
Estonia,2022-05-01,151.36
Finland,2022-05-01,132.35
France,2022-05-01,197.46
Germany,2022-05-01,177.04
Greece,2022-05-01,225.07
Hungary,2022-05-01,204.87
Ireland,2022-05-01,141.4
Italy,2022-05-01,230.04
Latvia,2022-05-01,164.35
Lithuania,2022-05-01,164.86
Luxembourg,2022-05-01,177.04
Netherlands,2022-05-01,181.4
Poland,2022-05-01,140.64
Portugal,2022-05-01,187.19
Romania,2022-05-01,202.28
Serbia,2022-05-01,205.8
Slovakia,2022-05-01,194.8
Slovenia,2022-05-01,202.06
Spain,2022-05-01,187.16
Switzerland,2022-05-01,197.09
United Kingdom,2022-05-01,148.13
Austria,2022-06-01,227.51
Belgium,2022-06-01,219.29
Bulgaria,2022-06-01,223.16
Croatia,2022-06-01,245.58
Czechia,2022-06-01,224.96
Denmark,2022-06-01,214.16
Estonia,2022-06-01,173.74
Finland,2022-06-01,140.33
France,2022-06-01,248.73
Germany,2022-06-01,218.17
Greece,2022-06-01,240.83
Hungary,2022-06-01,237.06
Ireland,2022-06-01,180.48
Italy,2022-06-01,271.67
Latvia,2022-06-01,218.52
Lithuania,2022-06-01,223.38
Luxembourg,2022-06-01,218.17
Netherlands,2022-06-01,210.7
Poland,2022-06-01,185.27
Portugal,2022-06-01,169.63
Romania,2022-06-01,230.49
Serbia,2022-06-01,242.67
Slovakia,2022-06-01,235.8
Slovenia,2022-06-01,246.11
Spain,2022-06-01,169.43
Switzerland,2022-06-01,255.18
United Kingdom,2022-06-01,187.08
Austria,2022-07-01,361.75
Belgium,2022-07-01,321.55
Bulgaria,2022-07-01,323.4
Croatia,2022-07-01,375.56
Czechia,2022-07-01,319.64
Denmark,2022-07-01,259.54
Estonia,2022-07-01,233.69
Finland,2022-07-01,183.92
France,2022-07-01,400.95
Germany,2022-07-01,317.03
Greece,2022-07-01,338.32
Hungary,2022-07-01,371.23
Ireland,2022-07-01,267.31
Italy,2022-07-01,441.77
Latvia,2022-07-01,304.98
Lithuania,2022-07-01,305.38
Luxembourg,2022-07-01,317.03
Netherlands,2022-07-01,306.86
Norway,2022-07-01,129.21
Poland,2022-07-01,220.08
Portugal,2022-07-01,143.83
Romania,2022-07-01,367.31
Serbia,2022-07-01,384.27
Slovakia,2022-07-01,368.43
Slovenia,2022-07-01,374.96
Spain,2022-07-01,142.68
Switzerland,2022-07-01,383.27
United Kingdom,2022-07-01,286.35
Austria,2022-08-01,488.27
Belgium,2022-08-01,448.12
Bulgaria,2022-08-01,433.22
Croatia,2022-08-01,494.05
Czechia,2022-08-01,476.73
Denmark,2022-08-01,454.43
Estonia,2022-08-01,360.7
Finland,2022-08-01,261.53
France,2022-08-01,493.08
Germany,2022-08-01,463.59
Greece,2022-08-01,436.76
Hungary,2022-08-01,495.65
Ireland,2022-08-01,383.46
Italy,2022-08-01,543.55
Latvia,2022-08-01,467.09
Lithuania,2022-08-01,480.5
Luxembourg,2022-08-01,463.59
Netherlands,2022-08-01,447.25
Norway,2022-08-01,245.94
Poland,2022-08-01,268.88
Portugal,2022-08-01,157.36
Romania,2022-08-01,490.8
Serbia,2022-08-01,492.45
Slovakia,2022-08-01,492.47
Slovenia,2022-08-01,494.38
Spain,2022-08-01,154.99
Sweden,2022-08-01,189.0
Switzerland,2022-08-01,488.14
United Kingdom,2022-08-01,438.03
Austria,2022-09-01,396.32
Belgium,2022-09-01,345.73
Bulgaria,2022-09-01,375.13
Croatia,2022-09-01,391.73
Czechia,2022-09-01,364.45
Denmark,2022-09-01,336.73
Estonia,2022-09-01,229.42
Finland,2022-09-01,215.46
France,2022-09-01,393.39
Germany,2022-09-01,352.81
Greece,2022-09-01,416.41
Hungary,2022-09-01,390.42
Ireland,2022-09-01,292.72
Italy,2022-09-01,429.25
Latvia,2022-09-01,351.48
Lithuania,2022-09-01,359.38
Luxembourg,2022-09-01,352.81
Netherlands,2022-09-01,340.89
Norway,2022-09-01,236.96
Poland,2022-09-01,175.5
Portugal,2022-09-01,141.1
Romania,2022-09-01,377.92
Serbia,2022-09-01,395.1
Slovakia,2022-09-01,386.52
Slovenia,2022-09-01,394.49
Spain,2022-09-01,140.92
Sweden,2022-09-01,189.94
Switzerland,2022-09-01,403.79
United Kingdom,2022-09-01,309.95
Austria,2022-10-01,176.5
Belgium,2022-10-01,157.51
Bulgaria,2022-10-01,205.92
Croatia,2022-10-01,196.69
Czechia,2022-10-01,168.04
Denmark,2022-10-01,137.08
Estonia,2022-10-01,174.15
France,2022-10-01,178.89
Germany,2022-10-01,155.3
Greece,2022-10-01,232.16
Hungary,2022-10-01,193.91
Ireland,2022-10-01,137.02
Italy,2022-10-01,211.16
Latvia,2022-10-01,189.16
Lithuania,2022-10-01,189.21
Luxembourg,2022-10-01,155.3
Netherlands,2022-10-01,155.51
Poland,2022-10-01,134.12
Portugal,2022-10-01,127.22
Romania,2022-10-01,206.01
Serbia,2022-10-01,204.57
Slovakia,2022-10-01,188.29
Slovenia,2022-10-01,196.89
Spain,2022-10-01,127.22
Switzerland,2022-10-01,183.97
United Kingdom,2022-10-01,136.94
Austria,2022-11-01,211.79
Belgium,2022-11-01,180.7
Bulgaria,2022-11-01,220.23
Croatia,2022-11-01,219.66
Czechia,2022-11-01,197.08
Denmark,2022-11-01,141.9
Estonia,2022-11-01,219.23
Finland,2022-11-01,195.62
France,2022-11-01,192.16
Germany,2022-11-01,173.2
Greece,2022-11-01,227.84
Hungary,2022-11-01,223.01
Ireland,2022-11-01,137.04
Italy,2022-11-01,224.79
Latvia,2022-11-01,226.68
Lithuania,2022-11-01,226.87
Luxembourg,2022-11-01,173.2
Netherlands,2022-11-01,179.48
Poland,2022-11-01,170.95
Romania,2022-11-01,222.54
Serbia,2022-11-01,216.65
Slovakia,2022-11-01,215.85
Slovenia,2022-11-01,222.73
Sweden,2022-11-01,119.37
Switzerland,2022-11-01,219.34
United Kingdom,2022-11-01,159.8
Austria,2022-12-01,266.04
Belgium,2022-12-01,268.88
Bulgaria,2022-12-01,246.56
Croatia,2022-12-01,246.37
Czechia,2022-12-01,250.42
Denmark,2022-12-01,248.97
Estonia,2022-12-01,263.05
Finland,2022-12-01,245.6
France,2022-12-01,270.49
Germany,2022-12-01,250.71
Greece,2022-12-01,276.97
Hungary,2022-12-01,260.78
Ireland,2022-12-01,279.75
Italy,2022-12-01,294.82
Latvia,2022-12-01,263.51
Lithuania,2022-12-01,263.88
Luxembourg,2022-12-01,250.71
Netherlands,2022-12-01,258.49
Norway,2022-12-01,217.45
Poland,2022-12-01,173.55
Romania,2022-12-01,247.59
Serbia,2022-12-01,241.43
Slovakia,2022-12-01,257.7
Slovenia,2022-12-01,264.25
Sweden,2022-12-01,235.2
Switzerland,2022-12-01,279.69
United Kingdom,2022-12-01,287.79
Austria,2023-01-01,143.56
Belgium,2023-01-01,130.87
Bulgaria,2023-01-01,136.3
Croatia,2023-01-01,136.98
Czechia,2023-01-01,134.81
France,2023-01-01,132.33
Greece,2023-01-01,191.66
Hungary,2023-01-01,148.8
Ireland,2023-01-01,163.69
Italy,2023-01-01,174.44
Netherlands,2023-01-01,126.13
Poland,2023-01-01,132.59
Romania,2023-01-01,136.3
Serbia,2023-01-01,135.96
Slovakia,2023-01-01,146.58
Slovenia,2023-01-01,146.65
Switzerland,2023-01-01,157.46
United Kingdom,2023-01-01,149.67
Austria,2023-02-01,144.9
Belgium,2023-02-01,143.51
Bulgaria,2023-02-01,142.37
Croatia,2023-02-01,145.24
Czechia,2023-02-01,139.25
France,2023-02-01,148.78
Germany,2023-02-01,127.81
Greece,2023-02-01,156.25
Hungary,2023-02-01,146.27
Ireland,2023-02-01,156.59
Italy,2023-02-01,161.03
Luxembourg,2023-02-01,127.81
Netherlands,2023-02-01,134.91
Poland,2023-02-01,136.85
Portugal,2023-02-01,134.25
Romania,2023-02-01,142.56
Serbia,2023-02-01,145.42
Slovakia,2023-02-01,145.42
Slovenia,2023-02-01,145.64
Spain,2023-02-01,133.49
Switzerland,2023-02-01,153.76
United Kingdom,2023-02-01,153.37
Greece,2023-03-01,122.75
Ireland,2023-03-01,147.8
Italy,2023-03-01,136.31
Poland,2023-03-01,120.43
Switzerland,2023-03-01,124.43
United Kingdom,2023-03-01,130.8
Greece,2023-04-01,120.44
Ireland,2023-04-01,126.27
Italy,2023-04-01,134.9
Poland,2023-04-01,122.03
Ireland,2023-07-01,142.04
Ireland,2023-10-01,124.41
Italy,2023-10-01,134.2
Ireland,2023-11-01,122.74
Italy,2023-11-01,121.74
Estonia,2024-01-01,126.47
Bulgaria,2024-07-01,136.51
Greece,2024-07-01,135.23
Hungary,2024-07-01,135.57
North Macedonia,2024-07-01,136.52
Romania,2024-07-01,145.19
Serbia,2024-07-01,134.29
Bulgaria,2024-08-01,126.65
Greece,2024-08-01,129.81
Hungary,2024-08-01,120.78
Italy,2024-08-01,128.51
Montenegro,2024-08-01,128.62
North Macedonia,2024-08-01,124.57
Romania,2024-08-01,126.86
Serbia,2024-08-01,127.12
Ireland,2024-10-01,122.49
Austria,2024-11-01,130.21
Bulgaria,2024-11-01,167.75
Croatia,2024-11-01,144.79
Czechia,2024-11-01,133.24
Greece,2024-11-01,136.55
Hungary,2024-11-01,163.71
Ireland,2024-11-01,146.87
Italy,2024-11-01,130.93
Montenegro,2024-11-01,134.39
North Macedonia,2024-11-01,165.41
Poland,2024-11-01,120.78
Romania,2024-11-01,168.04
Serbia,2024-11-01,159.98
Slovakia,2024-11-01,142.27
Slovenia,2024-11-01,137.97
Switzerland,2024-11-01,124.82
Austria,2024-12-01,127.86
Bulgaria,2024-12-01,140.67
Croatia,2024-12-01,136.33
Czechia,2024-12-01,132.28
Greece,2024-12-01,129.83
Hungary,2024-12-01,143.93
Ireland,2024-12-01,138.26
Italy,2024-12-01,135.04
Montenegro,2024-12-01,130.88
North Macedonia,2024-12-01,131.39
Romania,2024-12-01,141.13
Serbia,2024-12-01,139.4
Slovakia,2024-12-01,145.57
Slovenia,2024-12-01,133.78
Switzerland,2024-12-01,126.17
Austria,2025-01-01,134.21
Bulgaria,2025-01-01,138.78
Croatia,2025-01-01,136.02
Czechia,2025-01-01,128.57
Greece,2025-01-01,135.12
Hungary,2025-01-01,140.2
Ireland,2025-01-01,163.65
Italy,2025-01-01,141.35
Montenegro,2025-01-01,138.47
North Macedonia,2025-01-01,141.62
Romania,2025-01-01,139.47
Serbia,2025-01-01,136.99
Slovakia,2025-01-01,140.23
Slovenia,2025-01-01,134.55
Switzerland,2025-01-01,136.52
United Kingdom,2025-01-01,141.29
Austria,2025-02-01,140.82
Belgium,2025-02-01,128.74
Bulgaria,2025-02-01,156.69
Croatia,2025-02-01,150.01
Czechia,2025-02-01,132.64
Estonia,2025-02-01,151.84
France,2025-02-01,122.64
Germany,2025-02-01,129.39
Greece,2025-02-01,154.2
Hungary,2025-02-01,158.96
Ireland,2025-02-01,140.35
Italy,2025-02-01,150.36
Latvia,2025-02-01,151.75
Lithuania,2025-02-01,152.61
Luxembourg,2025-02-01,129.39
Montenegro,2025-02-01,151.87
Netherlands,2025-02-01,125.81
North Macedonia,2025-02-01,157.35
Poland,2025-02-01,133.84
Romania,2025-02-01,157.25
Serbia,2025-02-01,154.72
Slovakia,2025-02-01,153.37
Slovenia,2025-02-01,147.01
Switzerland,2025-02-01,148.09
United Kingdom,2025-02-01,127.54
Ireland,2025-03-01,131.78
Italy,2025-03-01,120.49
